160
No	x	y	d	σ2
0	40	40  0  0
1	22	22	18	12.115
2	36	26	26	67.861
3	21	45	11	8.314
4	45	35	30	8.858
5	55	20	21	10.086
6	33	34	19	0.002
7	50	50	15	1.901
8	55	45	16	2.657
9	26	59	29	44.373
10	40	66	26	10.999
11	55	65	37	2.687
12	35	51	16	19.683
13	62	35	12	5.438
14	62	57	31	1.039
15	62	24	8	0.544
16	21	36	19	15.441
17	33	44	20	0.310
18	9	56	13	18.418
19	62	48	15	23.978
20	66	14	22	25.893
21	44	13	28	76.070
22	26	13	12	0.720
23	11	28	6	0.068
24	7	43	27	60.270
25	17	64	14	14.604
26	41	46	18	10.526
27	55	34	17	0.011
28	35	16	29	9.220
29	52	26	13	10.994
30	43	26	22	47.673
31	31	76	25	5.812
32	22	53	28	19.811
33	26	29	27	66.052
34	50	40	19	31.535
35	55	50	10	2.741
36	54	10	12	2.515
37	60	15	14	16.553
38	47	66	24	55.485
39	30	60	16	10.086
40	30	50	33	5.316
41	12	17	15	19.719
42	15	14	11	2.896
43	16	19	18	14.199
44	21	48	17	6.408
45	50	30	21	10.272
46	51	42	27	4.469
47	50	15	19	23.388
48	48	21	20	15.534
49	12	38	5	0.547
50	15	56	22	13.179
51	29	39	12	13.596
52	54	38	19	1.771
53	55	57	22	37.227
54	67	41	16	0.663
55	10	70	7	3.899
56	6	25	26	34.514
57	65	27	14	18.681
58	40	60	21	6.405
59	70	64	24	4.094
60	64	4	13	1.485
61	36	6	15	3.378
62	30	20	18	0.315
63	20	30	11	1.315
64	15	5	28	38.636
65	50	70	9	3.808
66	57	72	37	39.609
67	45	42	30	3.377
68	38	33	10	1.660
69	50	4	8	0.096
70	66	8	11	9.754
71	59	5	3	0.504
72	35	60	1	0.058
73	27	24	6	1.646
74	40	20	10	0.003
75	40	37	20	0.228
